Level,Activity ID,Phase,Activity,Predecessor,Duration Months,Critical,Basis
1,M100,Milestone,Investment approval,,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M200,Milestone,Design complete,M100,50,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M300,Milestone,Procurement complete,M200,37,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M400,Milestone,Delivery complete,M300,100,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M500,Milestone,Ready for operations,M400,37,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M600,Milestone,Handover,M500,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1000,Governance,Project initiation / controls setup,,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1100,Business Case,"Strategic brief, funding and approval",A1000,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1200,Scope,Requirements definition and scope freeze,A1100,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1300,Design,Concept / reference architecture,A1200,20,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1500,Procurement,Procurement strategy and tender packaging,A1300,15,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1600,Design,Detailed design / IFC development,A1300,25,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1700,Procurement,Long-lead procurement,A1500,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1800,Enabling,Site / launch integration readiness,A1400;A1500,17,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,55,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2000,Integration,Systems integration and testing,A1900,25,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,15,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1000,Governance,Project initiation / controls setup,,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1100,Business Case,"Strategic brief, funding and approval",A1000,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1200,Scope,Requirements definition and scope freeze,A1100,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1300,Design,Concept / reference architecture,A1200,20,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1500,Procurement,Procurement strategy and tender packaging,A1300,15,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1600,Design,Detailed design / IFC development,A1300,25,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1700,Procurement,Long-lead procurement,A1500,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1800,Enabling,Site / launch integration readiness,A1400;A1500,17,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,55,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2000,Integration,Systems integration and testing,A1900,25,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,15,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1000,Governance,Project initiation / controls setup,,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1100,Business Case,"Strategic brief, funding and approval",A1000,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1200,Scope,Requirements definition and scope freeze,A1100,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1300,Design,Concept / reference architecture,A1200,20,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1500,Procurement,Procurement strategy and tender packaging,A1300,15,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1600,Design,Detailed design / IFC development,A1300,25,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1700,Procurement,Long-lead procurement,A1500,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1800,Enabling,Site / launch integration readiness,A1400;A1500,17,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,55,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2000,Integration,Systems integration and testing,A1900,25,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,15,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P1000,Package,Launch campaign,A1900,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P2000,Package,Payload integration,P1000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P3000,Package,Power and ECLSS,P2000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P4000,Package,Surface logistics,P3000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P5000,Package,Mission operations,P4000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P6000,Package,Robotic assembly,P5000,9,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1000,Governance,Project initiation / controls setup,,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1100,Business Case,"Strategic brief, funding and approval",A1000,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1200,Scope,Requirements definition and scope freeze,A1100,12,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1300,Design,Concept / reference architecture,A1200,20,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1500,Procurement,Procurement strategy and tender packaging,A1300,15,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1600,Design,Detailed design / IFC development,A1300,25,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1700,Procurement,Long-lead procurement,A1500,22,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1800,Enabling,Site / launch integration readiness,A1400;A1500,17,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
