Level,Activity ID,Phase,Activity,Predecessor,Duration Months,Critical,Basis
1,M100,Milestone,Investment approval,,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M200,Milestone,Design complete,M100,10,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M300,Milestone,Procurement complete,M200,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M400,Milestone,Delivery complete,M300,19,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M500,Milestone,Ready for operations,M400,7,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
1,M600,Milestone,Handover,M500,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1000,Governance,Project initiation / controls setup,,1,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1100,Business Case,"Strategic brief, funding and approval",A1000,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1200,Scope,Requirements definition and scope freeze,A1100,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1300,Design,Concept / reference architecture,A1200,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1500,Procurement,Procurement strategy and tender packaging,A1300,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1600,Design,Detailed design / IFC development,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1700,Procurement,Long-lead procurement,A1500,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1800,Enabling,Site / launch integration readiness,A1400;A1500,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,11,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2000,Integration,Systems integration and testing,A1900,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
2,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1000,Governance,Project initiation / controls setup,,1,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1100,Business Case,"Strategic brief, funding and approval",A1000,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1200,Scope,Requirements definition and scope freeze,A1100,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1300,Design,Concept / reference architecture,A1200,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1500,Procurement,Procurement strategy and tender packaging,A1300,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1600,Design,Detailed design / IFC development,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1700,Procurement,Long-lead procurement,A1500,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1800,Enabling,Site / launch integration readiness,A1400;A1500,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,11,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2000,Integration,Systems integration and testing,A1900,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
3,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1000,Governance,Project initiation / controls setup,,1,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1100,Business Case,"Strategic brief, funding and approval",A1000,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1200,Scope,Requirements definition and scope freeze,A1100,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1300,Design,Concept / reference architecture,A1200,4,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1400,Consents,"Planning, regulatory and stakeholder approvals",A1200,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1500,Procurement,Procurement strategy and tender packaging,A1300,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1600,Design,Detailed design / IFC development,A1300,5,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1700,Procurement,Long-lead procurement,A1500,4,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1800,Enabling,Site / launch integration readiness,A1400;A1500,3,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A1900,Delivery,Main construction / fabrication / assembly,A1600;A1700;A1800,11,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2000,Integration,Systems integration and testing,A1900,5,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,A2100,Handover,"Commissioning, operations readiness and closeout",A2000,3,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P1000,Package,Grid connection,A1900,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P2000,Package,Data halls,P1000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P3000,Package,Cooling plant,P2000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P4000,Package,Power train,P3000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
4,P5000,Package,Controls and commissioning,P4000,2,Yes,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1000,Governance,Project initiation / controls setup,,1,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1100,Business Case,"Strategic brief, funding and approval",A1000,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
5,A1200,Scope,Requirements definition and scope freeze,A1100,2,No,"Duration derived from sector schedule model, selected schedule level and scenario compression/buffer logic."
