Risk ID,Title,Category,Probability %,Activity ID,Activity Name,CBS,CBS Name,Schedule O,Schedule M,Schedule P,Cost O BN,Cost M BN,Cost P BN,Owner,Trigger,Mitigation,Basis Cost,Basis Schedule
R-S02,Mass growth,Technical,42,A1500,Procurement strategy and tender packaging,01.05,ECLSS / Life Support,15,50,140,7.266,19.982,43.597,Chief Engineer,Mass margin below threshold,Mass control board and margin policy,"Cost impact derived from 01.05 ECLSS / Life Support exposure, project P50 $181.7B, and risk severity (4%/11%/24%).",Schedule impact mapped to A1500 Procurement strategy and tender packaging with O/M/P delay 15/50/140 days and critical path sensitivity.
R-002,Market escalation,Commercial,45,A1800,Site / launch integration readiness,01.08,Launch Services,0,0,0,7.266,18.166,36.331,Commercial Lead,Index exceeds allowance,"Early procurement, index strategy, market testing","Cost impact derived from 01.08 Launch Services exposure, project P50 $181.7B, and risk severity (4%/10%/20%).",Schedule impact mapped to A1800 Site / launch integration readiness with O/M/P delay 0/0/0 days and critical path sensitivity.
R-S03,Life-support reliability,Technical,36,A1600,Detailed design / IFC development,01.06,Payload / Mission Equipment,20,70,180,9.083,21.799,50.864,Life Support Lead,Reliability growth misses target,"Prototype testing, redundancy, reliability growth","Cost impact derived from 01.06 Payload / Mission Equipment exposure, project P50 $181.7B, and risk severity (5%/12%/28%).",Schedule impact mapped to A1600 Detailed design / IFC development with O/M/P delay 20/70/180 days and critical path sensitivity.
R-S01,Launch manifest delay,Launch,48,A1400,"Planning, regulatory and stakeholder approvals",01.04,Power Generation & Distribution,15,45,120,5.45,16.349,36.331,Launch Integration Lead,Launch slot not confirmed,"Reserve alternate slots, freeze payload interfaces","Cost impact derived from 01.04 Power Generation & Distribution exposure, project P50 $181.7B, and risk severity (3%/9%/20%).","Schedule impact mapped to A1400 Planning, regulatory and stakeholder approvals with O/M/P delay 15/45/120 days and critical path sensitivity."
R-004,Design maturity gap,Technical,38,A2000,Systems integration and testing,02.01,Test & Qualification Facilities,15,45,120,5.45,16.349,32.698,Design Manager,Deliverables late,Design maturity gates and independent review,"Cost impact derived from 02.01 Test & Qualification Facilities exposure, project P50 $181.7B, and risk severity (3%/9%/18%).",Schedule impact mapped to A2000 Systems integration and testing with O/M/P delay 15/45/120 days and critical path sensitivity.
R-001,Scope growth,Scope,42,A1700,Long-lead procurement,01.07,Robotics / Autonomous Construction,15,45,120,5.45,14.532,29.065,Project Director,Scope change rate exceeds threshold,"Freeze scope, change board, value gates","Cost impact derived from 01.07 Robotics / Autonomous Construction exposure, project P50 $181.7B, and risk severity (3%/8%/16%).",Schedule impact mapped to A1700 Long-lead procurement with O/M/P delay 15/45/120 days and critical path sensitivity.
R-006,Productivity underperformance,Delivery,35,P1000,Launch campaign,02.03,Programme Management / PMO,15,50,130,5.45,14.532,29.065,Delivery Lead,SPI/CPI deteriorates,Package productivity controls and daily planning,"Cost impact derived from 02.03 Programme Management / PMO exposure, project P50 $181.7B, and risk severity (3%/8%/16%).",Schedule impact mapped to P1000 Launch campaign with O/M/P delay 15/50/130 days and critical path sensitivity.
R-005,Supply chain delay,Procurement,40,A2100,"Commissioning, operations readiness and closeout",02.02,Safety & Mission Assurance,10,40,120,3.633,12.716,27.248,Procurement Lead,Supplier promise date slips,"Alternate suppliers, early orders, expediting","Cost impact derived from 02.02 Safety & Mission Assurance exposure, project P50 $181.7B, and risk severity (2%/7%/15%).","Schedule impact mapped to A2100 Commissioning, operations readiness and closeout with O/M/P delay 10/40/120 days and critical path sensitivity."
R-008,Interface misalignment,Integration,34,P3000,Power and ECLSS,03.02,Management Reserve,10,35,100,3.633,12.716,25.432,Integration Manager,Interface actions overdue,ICDs and weekly interface board,"Cost impact derived from 03.02 Management Reserve exposure, project P50 $181.7B, and risk severity (2%/7%/14%).",Schedule impact mapped to P3000 Power and ECLSS with O/M/P delay 10/35/100 days and critical path sensitivity.
R-007,Commissioning delay,Handover,32,P2000,Payload integration,03.01,Risk Contingency / UFE,10,35,100,3.633,10.899,21.799,Commissioning Lead,Test failures trend upward,Commissioning readiness and early test plans,"Cost impact derived from 03.01 Risk Contingency / UFE exposure, project P50 $181.7B, and risk severity (2%/6%/12%).",Schedule impact mapped to P2000 Payload integration with O/M/P delay 10/35/100 days and critical path sensitivity.
R-003,Permits / approvals delay,Regulatory,35,A1900,Main construction / fabrication / assembly,01.09,Transport / Landing / Surface Logistics,20,70,180,1.817,7.266,14.532,Consents Lead,Consent milestone slips,"Authority plan, consent tracker, early submissions","Cost impact derived from 01.09 Transport / Landing / Surface Logistics exposure, project P50 $181.7B, and risk severity (1%/4%/8%).",Schedule impact mapped to A1900 Main construction / fabrication / assembly with O/M/P delay 20/70/180 days and critical path sensitivity.
